Nome,Partido
Alan Rick,DEM
Dra. Vanda Milani,SD
Flaviano Melo,MDB
Jéssica Sales,MDB
Jesus Sérgio,PDT
Mara Rocha,PSDB
Pastor Manuel Marcos,PRB
Perpetua Almeida ,PC do B
Arthur Lira,PP
Isnaldo Bulhões,MDB
JHC,PSB
Marx Beltrão,PSD
Nivaldo Albuquerque,PTB
Paulão,PT
Sérgio Toledo,PR
Severino Pessôa,PRB
Tereza Nelma,PSDB
Acácio Favacho,PROS
Aline Gurgel,PRB
Andre Abdon,PP
Camilo Capiberibe,PSB
Leda Sadala,AVANTE
Luiz Carlos,PSDB
Professora Marcivania,PC do B
Vinícius,PR
Atila Lins,PP
Bosco Saraiva,SD
Capitão Alberto Neto,PRB
Delegado Pablo,PSL
José Ricardo,PT
Marcelo Ramos,PR
Sidney Leite,PSD
Silas Câmara,PRB
Adolfo Viana ,PSDB
Afonso Florence,PT
Alex Santana,PDT
Alice Portugal,PC do B
Antonio Brito,PSD
Arthur Maia,DEM
Bacelar,PODE
Cacá Leão,PP
Charles Fernandes,PSD
Claudio Cajado,PP
Daniel Almeida,PC do B
Elmar,DEM
Felix Mendonça,PDT
Igor Kannario,PHS
João Bacelar,PR
João Roma,PRB
Jorge Solla,PT
José Nunes,PSD
Jose Rocha,PR
Josias Gomes,PT
Leur Lomanto Jr,DEM
Lídice da Mata,PSB
Marcelo Nilo,PSB
Marcio Marinho,PRB
Mário Negromonte Jr,PP
Otto Alencar Filho,PSD
Pastor Abílio Santana,PHS
Pastor Sargento Isidório,AVANTE
Paulo Azi,DEM
Pelegrino,PT
Prof. Dayane Pimentel,PSL
Raimundo Costa,PRP
Ronaldo Carletto,PP
Sérgio Brito,PSD
Tito,AVANTE
Uldúrico Júnior,PPL
Valmir Assunção,PT
Waldenor Pereira,PT
Zé Neto,PT
Aj Albuquerque,PP
André Figueiredo,PDT
Capitão Wagner,PROS
Celio Studart,PV
Denis Bezerra,PSB
Domingos Neto,PSD
Dr. Jaziel,PR
Eduardo Bismarck,PDT
Genecias Noronha,SD
Guimarães,PT
Heitor Freire,PSL
Idilvan,PDT
Jose Airton,PT
Júnior Mano,PATRI
Leonidas Cristino,PDT
Luizianne,PT
Mauro Filho,PDT
Moses Rodrigues,MDB
Pedro Bezerra,PTB
Robério Monteiro,PDT
Roberto Pessoa,PSDB
Vaidon Oliveira,PROS
Bia Kicis,PRP
Celina Leão,PP
Erika Kokay,PT
Flavia Arruda,PR
Julio Cesar,PRB
Luis Miranda,DEM
Paula Belmonte,PPS
Professor Israel,PV
Amaro Neto,PRB
Da Vitória,PPS
Dra. Soraya Manato,PSL
Evair de Melo,PP
Felipe Rigoni,PSB
Foletto,PSB
Helder Salomão,PT
Lauriete,PR
Norma Ayub,DEM
Sergio Vidigal,PDT
Adriano do Baldy,PP
Alcides Rodrigues,PRP
Célio Silveira,PSDB
Delegado Waldir,PSL
Dr. Zacarias Calil,DEM
Elias Vaz,PSB
Flavia Morais,PDT
Francisco Jr,PSD
Glaustin da Fokus,PSC
João Campos,PRB
José  Nelto,PODE
Lucas Vergílio,SD
Magda Mofatto,PR
Major Vitor Hugo,PSL
Professor Alcides,PP
Rubens Otoni,PT
Zé Mario,DEM
Aluisio Mendes,PODE
Andre Fufuca,PP
Bira do Pindaré,PSB
Cleber Verde,PRB
Edilazio,PSD
Eduardo Braide,PMN
Gil Cutrim,PDT
Hildo Rocha,MDB
João Marcelo,MDB
Josimar Maranhãozinho,PR
Junior Lourenço,PR
Junior Marreca Filho,PATRI
Juscelino Filho,DEM
Márcio Jerry,PC do B
Pastor Gildenemyr,PMN
Pedro Lucas Fernandes,PTB
Rubens Junior,PC do B
Zé Carlos,PT
Carlos Bezerra,MDB
Dr Leonardo,SD
Emanuelzinho,PTB
Jose Medeiros,PODE
Juarez Costa,MDB
Nelson Barbudo,PSL
Neri Geller,PP
Professora Rosa Neide,PT
Beto Pereira,PSDB
Dagoberto,PDT
Dr. Luiz Ovando,PSL
Fabio Trad,PSD
Rose Modesto,PSDB
Tereza Cristina,DEM
Tio Trutis,PSL
Vander Loubet,PT
Aécio Neves,PSDB
Alê Silva,PSL
Andre Janones,AVANTE
Aurea Carolina,PSOL
Bilac Pinto,DEM
Cabo Junio Amaral,PSL
Charlles Evangelista,PSL
Delegado Marcelo Freitas,PSL
Diego Andrade,PSD
Dimas Fabiano,PP
Domingos Sávio,PSDB
Doutor Frederico,PATRI
Dr. Mário Heringer,PDT
Eduardo Barbosa,PSDB
Emidinho Madeira,PSB
Eros Biondini,PROS
Euclydes Pettersen ,PSC
Fabio Ramalho,MDB
Franco Cartafina,PHS
Fred Costa,PATRI
Gilberto Abramo,PRB
Greyce Elias,AVANTE
Hercílio Coelho Diniz,MDB
Igor Timo,PODE
Julio Delgado,PSB
Lafayette Andrada,PRB
Léo Motta,PSL
Leonardo Monteiro,PT
Lincoln Portela,PR
Lucas Gonzalez,NOVO
Luis Tibe,AVANTE
Marcelo Álvaro Antônio,PSL
Marcelo Aro,PHS
Margarida Salomão,PT
Mauro Lopes,MDB
Misael Varella,PSD
Newton Cardoso Jr,MDB
Odair Cunha,PT
Padre João,PT
Patrus Ananias,PT
Paulo Abi Ackel,PSDB
Paulo Guedes,PT
Pinheirinho,PP
Reginaldo Lopes,PT
Rodrigo de Castro,PSDB
Rogério Correia,PT
Stefano Aguiar,PSD
Subtenente Gonzaga,PDT
Tiago Mitraud,NOVO
Vilson da Fetaemg,PSB
Weliton Prado,PROS
Zé Silva,SD
Zé Vitor,PMN
Airton Faleiro,PT
Beto Faro,PT
Cássio Andrade,PSB
Celso Sabino,PSDB
Cristiano Vale,PR
Delegado Éder Mauro,PSD
Edmilson Rodrigues,PSOL
Eduardo Costa,PTB
Elcione,MDB
Hélio Leite,DEM
Joaquim Passarinho,PSD
Júnior Ferrari,PSD
Nilson Pinto,PSDB
Olival Marques,DEM
Paulo Bengtson,PTB
Priante,MDB
Vavá Martins,PRB
Aguinaldo Ribeiro,PP
Dr Damião,PDT
Edna Henrique,PSDB
Efraim Filho,DEM
Frei Anastácio,PT
Gervásio Maia,PSB
Hugo,PRB
Julian Lemos,PSL
Pedro Cunha Lima,PSDB
Ruy Carneiro,PSDB
Wellington Roberto,PR
Wilson Santiago,PTB
Aliel Machado,PSB
Aline Sleutjes,PSL
Aroldo Martins,PRB
Boca Aberta,PROS
Christiane Yared,PR
Diego Garcia,PODE
Enio Verri,PT
Felipe Francischini,PSL
Filipe Barros,PSL
Giacobo,PR
Gleisi Lula,PT
Gustavo Fruet,PDT
Hermes Frangão Parcianello,MDB
Leandre,PV
Luciano Ducci,PSB
Luisa Canziani,PTB
Luiz Nishimori,PR
Luizão Goulart,PRB
Ney Leprevost,PSD
Paulo Martins,PSC
Pedro Lupion,DEM
Ricardo Barros,PP
Rubens Bueno,PPS
Sandro Alex,PSD
Sargento Fahur,PSD
Schiavinato,PP
Sérgio Souza,MDB
Toninho Wandscheer,PROS
Vermelho,PSD
Zeca Dirceu,PT
André de Paula,PSD
Andre Ferreira,PSC
Augusto Coutinho,SD
Bispo Ossesio,PRB
Carlos Veras,PT
Daniel Coelho,PPS
Danilo Cabral,PSB
Eduardo da Fonte,PP
Felipe Carreras,PSB
Fernando Filho,DEM
Fernando Monteiro,PP
Fernando Rodolfo,PHS
Gonzaga Patriota,PSB
João Campos,PSB
Luciano Bivar,PSL
Marília Arraes,PT
Pastor Eurico,PATRI
Raul Henry,MDB
Renildo Calheiros,PC do B
Ricardo Teobaldo,PODE
Sebastião Oliveira,PR
Silvio Costa Filho,PRB
Tadeu Alencar,PSB
Túlio Gadêlha,PDT
Wolney Queiroz,PDT
Assis Carvalho,PT
Átila Lira,PSB
Capitão Fábio Abreu,PR
Dra. Marina,PTC
Flavio Nogueira,PDT
Iracema Portella,PP
Júlio Cesar,PSD
Marcos Aurélio Sampaio,MDB
Margarete Coelho,PP
Rejane Dias,PT
Alessandro Molon,PSB
Alexandre Serfiotis,PSD
Altineu Cortes,PR
Aureo,SD
Benedita da Silva ,PT
Carlos Jordy,PSL
Chico d Angelo,PDT
Chiquinho Brazão,AVANTE
Chris Tonietto,PSL
Christino Aureo,PP
Clarisse Garotinho,PROS
Daniel Silveira,PSL
Daniela do Waguinho,MDB
Delegado Antônio Furtado,PSL
Dr. Luizinho,PP
Felício Laterça,PSL
Flordelis,PSD
Gelson Azevedo,PHS
Glauber Braga,PSOL
Gutemberg Reis,MDB
Helio Fernando Barbosa Lopes,PSL
Hugo Leal,PSD
Jandira Feghali,PC do B
David Miranda,PSOL
Juninho do Pneu,DEM
Lourival Gomes,PSL
Luiz Antônio,DC
Luiz Lima ,PSL
Major Fabiana,PSL
Marcelo Calero,PPS
Marcelo Freixo,PSOL
Márcio Labre,PSL
Otoni de Paula,PSC
Paulo Ganime,NOVO
Paulo Ramos,PDT
Pedro Paulo,DEM
Professor Joziel,PSL
Rodrigo Maia,DEM
Rosangela Gomes ,PRB
Sargento Gurgel,PSL
Soraya Santos,PR
Sóstenes,DEM
Talíria Petrone,PSOL
